Strike_C,Ticker_C,Bid_C,Ask_C,Volm_C,Ticker_P,Bid_P,Ask_P,Volm_P
2150,SPXW 9/29/17 C2150,259.2999878,260.7000122,0,SPXW 9/29/17 P2150,34.79999924,35.70000076,10
2175,SPXW 9/29/17 C2175,238.1000061,239.6000061,0,SPXW 9/29/17 P2175,38.5,39.40000153,10
2200,SPXW 9/29/17 C2200,217.3999939,218.8999939,0,SPXW 9/29/17 P2200,42.5,43.5,10
2225,SPXW 9/29/17 C2225,197.1999969,198.6999969,0,SPXW 9/29/17 P2225,47.09999847,48.09999847,0
2250,SPXW 9/29/17 C2250,177.3999939,178.8999939,0,SPXW 9/29/17 P2250,52.09999847,53.20000076,1
2275,SPXW 9/29/17 C2275,158.3000031,159.6999969,0,SPXW 9/29/17 P2275,57.79999924,58.90000153,0
2300,SPXW 9/29/17 C2300,139.8000031,141.3000031,0,SPXW 9/29/17 P2300,64.09999847,65.30000305,1
2325,SPXW 9/29/17 C2325,122.0999985,123.5999985,0,SPXW 9/29/17 P2325,71.19999695,72.5,2
2350,SPXW 9/29/17 C2350,105.3000031,106.8000031,5,SPXW 9/29/17 P2350,79.09999847,80.5,0
2375,SPXW 9/29/17 C2375,89.5,90.90000153,5,SPXW 9/29/17 P2375,88.09999847,89.5,4
2400,SPXW 9/29/17 C2400,74.80000305,76.09999847,12,SPXW 9/29/17 P2400,98.09999847,99.5,1
2425,SPXW 9/29/17 C2425,61.29999924,62.59999847,0,SPXW 9/29/17 P2425,109.4000015,110.9000015,0
2450,SPXW 9/29/17 C2450,49.09999847,50.29999924,0,SPXW 9/29/17 P2450,122,123.5,0
2475,SPXW 9/29/17 C2475,38.5,39.59999847,370,SPXW 9/29/17 P2475,136.1000061,137.6000061,0
2500,SPXW 9/29/17 C2500,29.39999962,30.29999924,5,SPXW 9/29/17 P2500,151.6999969,153.3000031,0
2550,SPXW 9/29/17 C2550,15.69999981,16.39999962,39,SPXW 9/29/17 P2550,185.8999939,190,0
2600,SPXW 9/29/17 C2600,7.699999809,8.199999809,2,SPXW 9/29/17 P2600,227.1999969,231.6999969,0
2650,SPXW 9/29/17 C2650,3.599999905,4,17,SPXW 9/29/17 P2650,265.8999939,285.8999939,0
2700,SPXW 9/29/17 C2700,1.75,2.049999952,71,SPXW 9/29/17 P2700,313.7000122,333.6000061,0
2800,SPXW 9/29/17 C2800,0.550000012,0.75,10,SPXW 9/29/17 P2800,411.7000122,431.5,0